year,GeoLocation
1880,"(50.775000, 6.083330)"
1951,"(56.183330, 10.233330)"
1952,"(54.216670, -113.000000)"
1976,"(16.883330, -99.900000)"
1902,"(-33.166670, -64.950000)"
1919,"(32.100000, 71.800000)"
1949,"(44.833330, 95.166670)"
1814,"(44.216670, 0.616670)"
1930,"(-31.600000, -65.233330)"
1920,"(-30.866670, -64.550000)"
1974,"(16.398060, -9.570280)"
1925,"(19.083330, 8.383330)"
1769,"(50.666670, 2.333330)"
1949,"(29.516670, 35.050000)"
1838,"(29.716670, 77.950000)"
1959,"(8.916670, 8.433330)"
Fell,42.816670,"(39.916670
1957,"(24.416670, 39.516670)"
2001,"(13.660330, 28.960000)"
1806,"(44.116670, 4.083330)"
1766,"(44.650000, 11.016670)"
1949,"(2.000000, 22.666670)"
2002,"(45.821330, 6.015330)"
1835,"(51.783330, -1.783330)"
1873,"(36.233330, 37.133330)"
1860,"(44.883330, 8.750000)"
1900,"(50.950000, 31.816670)"
1883,"(45.266670, 10.150000)"
1899,"(42.533330, -85.883330)"
1969,"(26.966670, -105.316670)"
2008,"(20.745750, 32.412750)"
1977,"(35.273330, 44.215560)"
1895,"(27.666670, 78.250000)"
1880,"(26.583330, 85.566670)"
1898,"(44.616670, -70.750000)"
1969,"(48.700000, 37.500000)"
1939,"(20.883330, 76.866670)"
,"(0.000000, 0.000000)"
1822,"(47.466670, -0.550000)"
1869,"(-22.966670, -44.316670)"
1942,"(9.533330, 39.716670)"
1971,"(25.150000, 105.183330)"
1984,"(40.810560, 140.785560)"
1914,"(53.583330, -2.716670)"
1803,"(43.866670, 5.383330)"
1954,"(-33.000000, -66.000000)"
1932,"(38.500000, -94.300000)"
1950,"(-31.416670, -60.666670)"
1805,"(42.450000, 9.033330)"
2009,"(31.805000, -97.010000)"
1923,"(52.050000, 0.300000)"
1886,"(43.033330, 12.550000)"
1920,"(25.254170, 80.625000)"
1896,"(20.066670, -103.666670)"
1933,"(34.750000, -87.000000)"
1945,"(34.316670, -96.150000)"
1836,"(44.383330, 5.166670)"
1865,"(36.166670, 3.666670)"
1842,"(44.333330, 3.233330)"
1858,"(43.083330, 0.583330)"
1952,"(-21.460280, -49.950830)"
Fell,13.500000,"(46.000000
1855,"(25.000000, -103.500000)"
1968,"(2.716670, 32.833330)"
1938,"(36.800000, -108.000000)"
1814,"(48.600000, 38.000000)"
Fell,78.500000,"(28.483330
1929,"(35.966670, -82.483330)"
1922,"(34.500000, -88.666670)"
1907,"(5.383330, 16.383330)"
Fell,101.183330,"(16.666670
1871,"(-6.916670, 107.600000)"
1892,"(27.700000, 76.333330)"
1913,"(30.400000, 78.200000)"
1933,"(-6.333330, 106.000000)"
1790,"(43.950000, -0.050000)"
1704,"(41.366670, 2.166670)"
1842,"(42.383330, -2.500000)"
1904,"(52.733330, 84.083330)"
1886,"(52.000000, 9.100000)"
1910,"(31.616670, 76.800000)"
1965,"(52.565280, -1.339720)"
2006,"(15.783330, -5.900000)"
1994,"(52.033330, 20.935830)"
1892,"(45.416670, -98.316670)"
1902,"(38.250000, -83.750000)"
2012,"(40.668130, -117.189130)"
1989,"(11.083330, -0.183330)"
1916,"(36.750000, -93.500000)"
1929,"(39.800000, -101.200000)"
1893,"(51.166670, -117.333330)"
1949,"(53.016670, -4.100000)"
1961,"(33.600000, -96.466670)"
1937,"(-32.333330, -64.866670)"
1798,"(25.366670, 82.916670)"
2004,"(32.250000, -8.150000)"
2001,"(32.866670, 10.800000)"
1938,"(39.083330, -89.150000)"
1943,"(-26.166670, 28.416670)"
2002,"(30.000000, -7.000000)"
1949,"(45.950000, -67.550000)"
2008,"(-31.910000, -58.328330)"
1924,"(11.650000, -3.650000)"
1811,"(41.683330, -3.800000)"
2004,"(40.305830, -105.023250)"
1859,"(42.533330, -73.833330)"
1859,"(43.216670, -0.233330)"
1921,"(33.883330, 35.500000)"
1877,"(20.883330, 74.833330)"
2002,"(26.508330, 73.115280)"
1893,"(20.833330, 71.466670)"
1940,"(22.683330, 90.650000)"
1905,"(22.083330, 86.900000)"
1827,"(53.100000, 23.200000)"
1887,"(50.133330, 27.166670)"
1999,"(12.450000, -0.083330)"
1984,"(-33.156390, 115.676390)"
1923,"(13.766670, 5.300000)"
1843,"(34.166670, -80.283330)"
1895,"(25.383330, 82.600000)"
1796,"(49.783330, 30.166670)"
1899,"(60.400000, 25.800000)"
1941,"(40.916670, -78.083330)"
1906,"(36.833330, -97.333330)"
1909,"(31.833330, -98.833330)"
1833,"(49.366670, 16.633330)"
1938,"(40.480000, -89.004170)"
